states,x,y
Acre,-184.0,49.0
Alagoas,205.0,47.0
Amapá,21.0,193.0
Amazonas,-148.0,128.0
Bahia,118.0,24.0
Ceará,163.0,125.0
Espírito Santo,153.0,-62.0
Goiás,22.0,-31.0
Maranhão,100.0,142.00
Mato Grosso,-49.00,22.0
Mato Grosso Do Sul,-38.0,-58.0
Minas Gerais,63.0,-55.0
Pará,-11.0,125.0
Paraíba,211.0,79.0
Paraná,6.0,-117.0
Pernambuco,193.0,65.0
Piauí,112.0,73.0
Rio De Janeiro,122.0,-101.0
Rio Grande Do Norte,196.0,100.0
Rio Grande Do Sul,-21.0,-179.0
Rondônia,-126.0,42.0
Roraima,-89.0,214.0
Santa Catarina,42.0,-151.0
São Paulo,24.0,-92.0
Sergipe,191.0,33.0
Tocantins,52.0,45.0